"Factor","Importance"
"Factor14",0.0194208878129943
"Factor12",0.00939878153665653
"Factor5",0.00720364350638822
"Factor11",0.00658996885000315
"Factor2",0.0063626773206518
"Factor10",0.00574130133757612
"Factor13",0.00166421163361904
"Factor4",0.00126482916332139
"Factor8",0.00107754739379713
"Factor1",0.0008435222145881
"Factor7",0.000305968703348427
"Factor15",-0.00133960382563873
"Factor6",-0.00258704610810521
"Factor9",-0.00378254536785609
"Factor3",-0.00527172475182053
