"PatientID","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-3C-AALI",-1.97718954086304,-1.57411742210388,-0.747151911258698,-0.2683385014534,1.45984673500061,-0.306712061166763,-0.155053928494453,3.31598877906799,1.3727650642395,-2.62585592269897,1.11884927749634,1.6352162361145,-1.99197292327881,0.477237343788147,1.81365835666656
"TCGA-3C-AALK",-0.810208439826965,1.04940044879913,0.78806084394455,-1.54638302326202,0.14461050927639,-0.902182579040527,-0.45615142583847,0.335852235555649,1.67217338085175,-1.73100960254669,-0.619714140892029,1.32094895839691,-1.57200193405151,1.14780366420746,0.366235762834549
"TCGA-4H-AAAK",-0.404784888029099,1.82188427448273,0.0967376232147217,-0.37172943353653,-0.960208296775818,-0.248442634940147,-0.472104430198669,-0.359812676906586,2.36791777610779,-1.61880576610565,-0.108346708118916,1.22397899627686,-1.96632099151611,1.3342604637146,-0.798871040344238
"TCGA-5L-AAT1",0.70319539308548,0.70423811674118,0.315520197153091,-1.15323233604431,2.1573326587677,-2.10566091537476,-0.132316544651985,-0.976166129112244,1.48254895210266,-1.07011532783508,-0.622450709342957,1.77393841743469,-2.19701480865479,1.12048065662384,0.0154545661062002
"TCGA-5T-A9QA",-5.39732027053833,-1.82589256763458,2.83222246170044,-2.7309045791626,-0.190851077437401,-1.48767614364624,2.50157403945923,0.75497305393219,-2.41926455497742,-0.642720997333527,-1.23545897006989,2.56066203117371,-0.345934808254242,0.820958912372589,1.15314412117004
"TCGA-A1-A0SF",-0.230735018849373,1.3354971408844,-0.366184860467911,-0.128433093428612,0.132895350456238,-1.17056906223297,-0.326162546873093,-0.0433838963508606,2.62671494483948,-0.102009534835815,-0.086609810590744,-1.11768424510956,0.585048913955688,0.159619465470314,-0.622986853122711
"TCGA-A1-A0SH",0.305185198783875,1.57251155376434,-0.0680223181843758,0.951573729515076,-0.678641498088837,1.25661277770996,-2.81238436698914,-0.222018718719482,-0.459431499242783,-0.991747260093689,-0.439991772174835,0.243524923920631,-0.209351852536201,-0.777535319328308,0.985522150993347
"TCGA-A1-A0SJ",-1.16337025165558,1.04563796520233,1.00870180130005,0.182151824235916,0.253164350986481,0.484710931777954,-0.0669690370559692,1.04115307331085,-1.24295163154602,0.193318843841553,0.119869537651539,-1.30463182926178,-0.425281047821045,0.265062242746353,0.788805902004242
"TCGA-A1-A0SK",1.84079134464264,-4.61922693252563,-0.593739569187164,2.04996848106384,-4.9375901222229,1.33177208900452,4.31300354003906,5.16940259933472,2.83599495887756,1.81501913070679,-0.955928862094879,-2.53251838684082,-0.198588207364082,3.07133316993713,-2.26136779785156
"TCGA-A1-A0SO",1.18531000614166,-5.15472364425659,0.85924220085144,-0.0817661434412003,-4.15586185455322,1.87213110923767,2.37495493888855,1.04841661453247,0.923503398895264,1.89090955257416,0.818825304508209,-0.545114040374756,-0.806001961231232,-1.35603308677673,1.72833645343781
