"time","surv"
0,1
1,1
2,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
18,1
19,1
20,1
21,1
22,1
24,1
25,1
26,1
28,1
29,1
30,1
34,1
35,1
38,1
42,1
43,1
47,1
48,1
57,1
64,1
72,1
73,1
77,1
81,1
84,1
85,1
90,1
96,1
109,1
113,1
115,1
117,1
118,1
120,1
122,1
124,1
125,1
127,1
132,1
133,1
135,1
138,1
139,1
140,1
144,1
145,1
146,1
149,1
155,1
160,0.997420422360608
166,0.997420422360608
167,0.997420422360608
168,0.997420422360608
170,0.997420422360608
171,0.997420422360608
174,0.997420422360608
175,0.997420422360608
177,0.997420422360608
178,0.997420422360608
182,0.997420422360608
185,0.997420422360608
187,0.997420422360608
190,0.997420422360608
193,0.997420422360608
196,0.997420422360608
197,0.997420422360608
201,0.997420422360608
209,0.997420422360608
217,0.997420422360608
218,0.997420422360608
221,0.997420422360608
227,0.997420422360608
232,0.997420422360608
236,0.997420422360608
238,0.997420422360608
239,0.994481608673382
240,0.991543322577539
242,0.991543322577539
243,0.991543322577539
248,0.991543322577539
252,0.991543322577539
256,0.991543322577539
257,0.991543322577539
258,0.991543322577539
260,0.991543322577539
265,0.991543322577539
266,0.988488846862883
267,0.988488846862883
272,0.988488846862883
273,0.988488846862883
274,0.988488846862883
282,0.988488846862883
285,0.988488846862883
297,0.988488846862883
309,0.988488846862883
317,0.988488846862883
319,0.988488846862883
326,0.988488846862883
338,0.988488846862883
350,0.988488846862883
352,0.988488846862883
354,0.988488846862883
365,0.985063787669787
371,0.985063787669787
372,0.985063787669787
375,0.985063787669787
380,0.985063787669787
386,0.985063787669787
387,0.985063787669787
405,0.985063787669787
409,0.985063787669787
411,0.985063787669787
414,0.985063787669787
421,0.985063787669787
423,0.985063787669787
426,0.985063787669787
435,0.985063787669787
441,0.985063787669787
445,0.985063787669787
447,0.985063787669787
448,0.985063787669787
449,0.985063787669787
460,0.985063787669787
463,0.985063787669787
469,0.985063787669787
476,0.985063787669787
477,0.985063787669787
501,0.985063787669787
517,0.985063787669787
520,0.985063787669787
522,0.985063787669787
531,0.985063787669787
533,0.985063787669787
538,0.980949029857383
541,0.980949029857383
543,0.980949029857383
553,0.980949029857383
562,0.980949029857383
565,0.980949029857383
571,0.976711944967913
575,0.976711944967913
587,0.976711944967913
593,0.976711944967913
608,0.976711944967913
614,0.976711944967913
624,0.976711944967913
631,0.976711944967913
633,0.976711944967913
653,0.972316863770001
658,0.972316863770001
660,0.972316863770001
665,0.972316863770001
673,0.972316863770001
701,0.972316863770001
713,0.972316863770001
723,0.967777939678756
739,0.967777939678756
746,0.967777939678756
747,0.967777939678756
749,0.963173781954861
755,0.963173781954861
769,0.963173781954861
774,0.963173781954861
777,0.963173781954861
781,0.963173781954861
785,0.958368489271944
825,0.953535368974537
829,0.953535368974537
837,0.953535368974537
852,0.953535368974537
856,0.953535368974537
865,0.953535368974537
867,0.953535368974537
875,0.953535368974537
904,0.953535368974537
911,0.953535368974537
919,0.953535368974537
923,0.953535368974537
935,0.953535368974537
941,0.953535368974537
942,0.953535368974537
959,0.948338221522923
964,0.948338221522923
967,0.942967193798422
972,0.942967193798422
974,0.942967193798422
987,0.942967193798422
989,0.942967193798422
1008,0.937269132039281
1014,0.937269132039281
1015,0.937269132039281
1043,0.937269132039281
1046,0.937269132039281
1058,0.937269132039281
1072,0.937269132039281
1082,0.937269132039281
1103,0.937269132039281
1117,0.937269132039281
1121,0.937269132039281
1123,0.931175403630987
1132,0.931175403630987
1141,0.931175403630987
1150,0.931175403630987
1156,0.931175403630987
1172,0.931175403630987
1173,0.931175403630987
1174,0.924816981393218
1203,0.924816981393218
1212,0.924816981393218
1215,0.924816981393218
1219,0.924816981393218
1228,0.924816981393218
1236,0.924816981393218
1242,0.924816981393218
1247,0.924816981393218
1265,0.924816981393218
1270,0.924816981393218
1271,0.924816981393218
1285,0.924816981393218
1286,0.917618078744817
1288,0.917618078744817
1295,0.917618078744817
1299,0.917618078744817
1309,0.917618078744817
1312,0.917618078744817
1313,0.917618078744817
1319,0.917618078744817
1324,0.917618078744817
1350,0.917618078744817
1361,0.917618078744817
1364,0.909744982450767
1373,0.909744982450767
1374,0.909744982450767
1386,0.909744982450767
1388,0.901652434912974
1393,0.901652434912974
1409,0.901652434912974
1417,0.901652434912974
1437,0.901652434912974
1455,0.901652434912974
1463,0.901652434912974
1464,0.901652434912974
1465,0.901652434912974
1471,0.901652434912974
1485,0.901652434912974
1492,0.901652434912974
1500,0.901652434912974
1508,0.892400319551416
1512,0.892400319551416
1519,0.892400319551416
1547,0.892400319551416
1548,0.892400319551416
1555,0.88275562367147
1558,0.88275562367147
1572,0.88275562367147
1574,0.88275562367147
1604,0.88275562367147
1615,0.88275562367147
1620,0.88275562367147
1622,0.88275562367147
1623,0.88275562367147
1627,0.88275562367147
1628,0.88275562367147
1640,0.88275562367147
1643,0.88275562367147
1645,0.88275562367147
1648,0.88275562367147
1661,0.88275562367147
1673,0.871772274073931
1679,0.871772274073931
1694,0.860718396792032
1707,0.860718396792032
1742,0.860718396792032
1745,0.860718396792032
1759,0.849016404670282
1796,0.837164583376882
1812,0.825357974464827
1813,0.825357974464827
1826,0.825357974464827
1881,0.825357974464827
1883,0.825357974464827
1888,0.825357974464827
1896,0.825357974464827
1927,0.81262541050676
1964,0.81262541050676
1965,0.81262541050676
1990,0.81262541050676
1997,0.81262541050676
2008,0.81262541050676
2052,0.798606872850333
2074,0.798606872850333
2082,0.798606872850333
2140,0.798606872850333
2192,0.783523496314317
2221,0.783523496314317
2263,0.783523496314317
2273,0.766674127607703
2288,0.766674127607703
2331,0.766674127607703
2352,0.766674127607703
2359,0.766674127607703
2373,0.746925514504631
2392,0.746925514504631
2442,0.746925514504631
2469,0.726422408721113
2511,0.726422408721113
2513,0.726422408721113
2520,0.704796123323119
2534,0.682949137888697
2551,0.659800920029855
2712,0.636050666955931
2721,0.636050666955931
2762,0.636050666955931
2798,0.609600262054934
2850,0.609600262054934
2854,0.580929244036713
2877,0.580929244036713
2923,0.580929244036713
2965,0.5476094411554
2968,0.5476094411554
3119,0.5476094411554
3126,0.510181028000875
3344,0.510181028000875
3462,0.472436636662882
3471,0.430228789527088
3669,0.387422398540733
3738,0.344546927161377
3959,0.300415230276238
3991,0.300415230276238
4398,0.234686225398238
4788,0.234686225398238
4928,0.234686225398238
5261,0.234686225398238
