"time","surv","upper","lower"
0,1,1,1
1,1,1,1
2,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
34,1,1,1
35,1,1,1
38,1,1,1
42,1,1,1
43,1,1,1
47,1,1,1
48,1,1,1
57,1,1,1
64,1,1,1
72,1,1,1
73,1,1,1
77,1,1,1
81,1,1,1
84,1,1,1
85,1,1,1
90,1,1,1
96,1,1,1
109,1,1,1
113,1,1,1
115,1,1,1
117,1,1,1
118,1,1,1
120,1,1,1
122,1,1,1
124,1,1,1
125,1,1,1
127,1,1,1
132,1,1,1
133,1,1,1
135,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
149,1,1,1
155,1,1,1
160,0.996774193548387,1,0.990481879497733
166,0.996774193548387,1,0.990481879497733
167,0.996774193548387,1,0.990481879497733
168,0.996774193548387,1,0.990481879497733
170,0.996774193548387,1,0.990481879497733
171,0.996774193548387,1,0.990481879497733
174,0.996774193548387,1,0.990481879497733
175,0.996774193548387,1,0.990481879497733
177,0.996774193548387,1,0.990481879497733
178,0.996774193548387,1,0.990481879497733
182,0.996774193548387,1,0.990481879497733
185,0.996774193548387,1,0.990481879497733
187,0.996774193548387,1,0.990481879497733
190,0.996774193548387,1,0.990481879497733
193,0.996774193548387,1,0.990481879497733
196,0.996774193548387,1,0.990481879497733
197,0.996774193548387,1,0.990481879497733
201,0.996774193548387,1,0.990481879497733
209,0.996774193548387,1,0.990481879497733
217,0.996774193548387,1,0.990481879497733
218,0.996774193548387,1,0.990481879497733
221,0.996774193548387,1,0.990481879497733
227,0.996774193548387,1,0.990481879497733
232,0.996774193548387,1,0.990481879497733
236,0.996774193548387,1,0.990481879497733
238,0.996774193548387,1,0.990481879497733
239,0.993162692847125,1,0.983748275455664
240,0.989551192145863,1,0.977841765019246
242,0.989551192145863,1,0.977841765019246
243,0.989551192145863,1,0.977841765019246
248,0.989551192145863,1,0.977841765019246
252,0.989551192145863,1,0.977841765019246
256,0.989551192145863,1,0.977841765019246
257,0.989551192145863,1,0.977841765019246
258,0.989551192145863,1,0.977841765019246
260,0.989551192145863,1,0.977841765019246
265,0.989551192145863,1,0.977841765019246
266,0.985817036703803,0.999737155239413,0.972090738812979
267,0.985817036703803,0.999737155239413,0.972090738812979
272,0.985817036703803,0.999737155239413,0.972090738812979
273,0.985817036703803,0.999737155239413,0.972090738812979
274,0.985817036703803,0.999737155239413,0.972090738812979
282,0.985817036703803,0.999737155239413,0.972090738812979
285,0.985817036703803,0.999737155239413,0.972090738812979
297,0.985817036703803,0.999737155239413,0.972090738812979
309,0.985817036703803,0.999737155239413,0.972090738812979
317,0.985817036703803,0.999737155239413,0.972090738812979
319,0.985817036703803,0.999737155239413,0.972090738812979
326,0.985817036703803,0.999737155239413,0.972090738812979
338,0.985817036703803,0.999737155239413,0.972090738812979
350,0.985817036703803,0.999737155239413,0.972090738812979
352,0.985817036703803,0.999737155239413,0.972090738812979
354,0.985817036703803,0.999737155239413,0.972090738812979
365,0.98177680294682,0.997778892492099,0.966031350289474
371,0.98177680294682,0.997778892492099,0.966031350289474
372,0.98177680294682,0.997778892492099,0.966031350289474
375,0.98177680294682,0.997778892492099,0.966031350289474
380,0.98177680294682,0.997778892492099,0.966031350289474
386,0.98177680294682,0.997778892492099,0.966031350289474
387,0.98177680294682,0.997778892492099,0.966031350289474
405,0.98177680294682,0.997778892492099,0.966031350289474
409,0.98177680294682,0.997778892492099,0.966031350289474
411,0.98177680294682,0.997778892492099,0.966031350289474
414,0.98177680294682,0.997778892492099,0.966031350289474
421,0.98177680294682,0.997778892492099,0.966031350289474
423,0.98177680294682,0.997778892492099,0.966031350289474
426,0.98177680294682,0.997778892492099,0.966031350289474
435,0.98177680294682,0.997778892492099,0.966031350289474
441,0.98177680294682,0.997778892492099,0.966031350289474
445,0.98177680294682,0.997778892492099,0.966031350289474
447,0.98177680294682,0.997778892492099,0.966031350289474
448,0.98177680294682,0.997778892492099,0.966031350289474
449,0.98177680294682,0.997778892492099,0.966031350289474
460,0.98177680294682,0.997778892492099,0.966031350289474
463,0.98177680294682,0.997778892492099,0.966031350289474
469,0.98177680294682,0.997778892492099,0.966031350289474
476,0.98177680294682,0.997778892492099,0.966031350289474
477,0.98177680294682,0.997778892492099,0.966031350289474
501,0.98177680294682,0.997778892492099,0.966031350289474
517,0.98177680294682,0.997778892492099,0.966031350289474
520,0.98177680294682,0.997778892492099,0.966031350289474
522,0.98177680294682,0.997778892492099,0.966031350289474
531,0.98177680294682,0.997778892492099,0.966031350289474
533,0.98177680294682,0.997778892492099,0.966031350289474
538,0.977033919840797,0.995523965275829,0.958887293341033
541,0.977033919840797,0.995523965275829,0.958887293341033
543,0.977033919840797,0.995523965275829,0.958887293341033
553,0.977033919840797,0.995523965275829,0.958887293341033
562,0.977033919840797,0.995523965275829,0.958887293341033
565,0.977033919840797,0.995523965275829,0.958887293341033
571,0.972148750241593,0.992944568713957,0.951788470750518
575,0.972148750241593,0.992944568713957,0.951788470750518
587,0.972148750241593,0.992944568713957,0.951788470750518
593,0.972148750241593,0.992944568713957,0.951788470750518
608,0.972148750241593,0.992944568713957,0.951788470750518
614,0.972148750241593,0.992944568713957,0.951788470750518
624,0.972148750241593,0.992944568713957,0.951788470750518
631,0.972148750241593,0.992944568713957,0.951788470750518
633,0.972148750241593,0.992944568713957,0.951788470750518
653,0.967058966208914,0.990087761158311,0.944565805995776
658,0.967058966208914,0.990087761158311,0.944565805995776
660,0.967058966208914,0.990087761158311,0.944565805995776
665,0.967058966208914,0.990087761158311,0.944565805995776
673,0.967058966208914,0.990087761158311,0.944565805995776
701,0.967058966208914,0.990087761158311,0.944565805995776
713,0.967058966208914,0.990087761158311,0.944565805995776
723,0.961803210957779,0.986984551625073,0.937264332137287
739,0.961803210957779,0.986984551625073,0.937264332137287
746,0.961803210957779,0.986984551625073,0.937264332137287
747,0.961803210957779,0.986984551625073,0.937264332137287
749,0.956459859785791,0.983674732047485,0.929997928763809
755,0.956459859785791,0.983674732047485,0.929997928763809
769,0.956459859785791,0.983674732047485,0.929997928763809
774,0.956459859785791,0.983674732047485,0.929997928763809
777,0.956459859785791,0.983674732047485,0.929997928763809
781,0.956459859785791,0.983674732047485,0.929997928763809
785,0.950962964039896,0.980164530267547,0.922631385904871
825,0.945466068294,0.976512067806653,0.915407106338297
829,0.945466068294,0.976512067806653,0.915407106338297
837,0.945466068294,0.976512067806653,0.915407106338297
852,0.945466068294,0.976512067806653,0.915407106338297
856,0.945466068294,0.976512067806653,0.915407106338297
865,0.945466068294,0.976512067806653,0.915407106338297
867,0.945466068294,0.976512067806653,0.915407106338297
875,0.945466068294,0.976512067806653,0.915407106338297
904,0.945466068294,0.976512067806653,0.915407106338297
911,0.945466068294,0.976512067806653,0.915407106338297
919,0.945466068294,0.976512067806653,0.915407106338297
923,0.945466068294,0.976512067806653,0.915407106338297
935,0.945466068294,0.976512067806653,0.915407106338297
941,0.945466068294,0.976512067806653,0.915407106338297
942,0.945466068294,0.976512067806653,0.915407106338297
959,0.939443991425886,0.972567678807188,0.907448429818905
964,0.939443991425886,0.972567678807188,0.907448429818905
967,0.933383062448945,0.968468847587022,0.899568368602882
972,0.933383062448945,0.968468847587022,0.899568368602882
974,0.933383062448945,0.968468847587022,0.899568368602882
987,0.933383062448945,0.968468847587022,0.899568368602882
989,0.933383062448945,0.968468847587022,0.899568368602882
1008,0.927160508699285,0.964188735571832,0.891554295520469
1014,0.927160508699285,0.964188735571832,0.891554295520469
1015,0.927160508699285,0.964188735571832,0.891554295520469
1043,0.927160508699285,0.964188735571832,0.891554295520469
1046,0.927160508699285,0.964188735571832,0.891554295520469
1058,0.927160508699285,0.964188735571832,0.891554295520469
1072,0.927160508699285,0.964188735571832,0.891554295520469
1082,0.927160508699285,0.964188735571832,0.891554295520469
1103,0.927160508699285,0.964188735571832,0.891554295520469
1117,0.927160508699285,0.964188735571832,0.891554295520469
1121,0.927160508699285,0.964188735571832,0.891554295520469
1123,0.92049028921224,0.959627650928124,0.882949101888161
1132,0.92049028921224,0.959627650928124,0.882949101888161
1141,0.92049028921224,0.959627650928124,0.882949101888161
1150,0.92049028921224,0.959627650928124,0.882949101888161
1156,0.92049028921224,0.959627650928124,0.882949101888161
1172,0.92049028921224,0.959627650928124,0.882949101888161
1173,0.92049028921224,0.959627650928124,0.882949101888161
1174,0.913516877930329,0.954824901236005,0.873995939133251
1203,0.913516877930329,0.954824901236005,0.873995939133251
1212,0.913516877930329,0.954824901236005,0.873995939133251
1215,0.913516877930329,0.954824901236005,0.873995939133251
1219,0.913516877930329,0.954824901236005,0.873995939133251
1228,0.913516877930329,0.954824901236005,0.873995939133251
1236,0.913516877930329,0.954824901236005,0.873995939133251
1242,0.913516877930329,0.954824901236005,0.873995939133251
1247,0.913516877930329,0.954824901236005,0.873995939133251
1265,0.913516877930329,0.954824901236005,0.873995939133251
1270,0.913516877930329,0.954824901236005,0.873995939133251
1271,0.913516877930329,0.954824901236005,0.873995939133251
1285,0.913516877930329,0.954824901236005,0.873995939133251
1286,0.905775209473292,0.949616709458035,0.863957765196256
1288,0.905775209473292,0.949616709458035,0.863957765196256
1295,0.905775209473292,0.949616709458035,0.863957765196256
1299,0.905775209473292,0.949616709458035,0.863957765196256
1309,0.905775209473292,0.949616709458035,0.863957765196256
1312,0.905775209473292,0.949616709458035,0.863957765196256
1313,0.905775209473292,0.949616709458035,0.863957765196256
1319,0.905775209473292,0.949616709458035,0.863957765196256
1324,0.905775209473292,0.949616709458035,0.863957765196256
1350,0.905775209473292,0.949616709458035,0.863957765196256
1361,0.905775209473292,0.949616709458035,0.863957765196256
1364,0.89714877890688,0.943950962149491,0.852667102177963
1373,0.89714877890688,0.943950962149491,0.852667102177963
1374,0.89714877890688,0.943950962149491,0.852667102177963
1386,0.89714877890688,0.943950962149491,0.852667102177963
1388,0.888266117729584,0.937986270978423,0.841181497340421
1393,0.888266117729584,0.937986270978423,0.841181497340421
1409,0.888266117729584,0.937986270978423,0.841181497340421
1417,0.888266117729584,0.937986270978423,0.841181497340421
1437,0.888266117729584,0.937986270978423,0.841181497340421
1455,0.888266117729584,0.937986270978423,0.841181497340421
1463,0.888266117729584,0.937986270978423,0.841181497340421
1464,0.888266117729584,0.937986270978423,0.841181497340421
1465,0.888266117729584,0.937986270978423,0.841181497340421
1471,0.888266117729584,0.937986270978423,0.841181497340421
1485,0.888266117729584,0.937986270978423,0.841181497340421
1492,0.888266117729584,0.937986270978423,0.841181497340421
1500,0.888266117729584,0.937986270978423,0.841181497340421
1508,0.878172184573566,0.931441208208857,0.827949610734622
1512,0.878172184573566,0.931441208208857,0.827949610734622
1519,0.878172184573566,0.931441208208857,0.827949610734622
1547,0.878172184573566,0.931441208208857,0.827949610734622
1548,0.878172184573566,0.931441208208857,0.827949610734622
1555,0.867462767688523,0.9244363489311,0.814000503329317
1558,0.867462767688523,0.9244363489311,0.814000503329317
1572,0.867462767688523,0.9244363489311,0.814000503329317
1574,0.867462767688523,0.9244363489311,0.814000503329317
1604,0.867462767688523,0.9244363489311,0.814000503329317
1615,0.867462767688523,0.9244363489311,0.814000503329317
1620,0.867462767688523,0.9244363489311,0.814000503329317
1622,0.867462767688523,0.9244363489311,0.814000503329317
1623,0.867462767688523,0.9244363489311,0.814000503329317
1627,0.867462767688523,0.9244363489311,0.814000503329317
1628,0.867462767688523,0.9244363489311,0.814000503329317
1640,0.867462767688523,0.9244363489311,0.814000503329317
1643,0.867462767688523,0.9244363489311,0.814000503329317
1645,0.867462767688523,0.9244363489311,0.814000503329317
1648,0.867462767688523,0.9244363489311,0.814000503329317
1661,0.867462767688523,0.9244363489311,0.814000503329317
1673,0.854319392420515,0.916538099527127,0.796324369540467
1679,0.854319392420515,0.916538099527127,0.796324369540467
1694,0.840970651913944,0.908080671100406,0.778820274330414
1707,0.840970651913944,0.908080671100406,0.778820274330414
1742,0.840970651913944,0.908080671100406,0.778820274330414
1745,0.840970651913944,0.908080671100406,0.778820274330414
1759,0.826954474382045,0.899010518882479,0.76067375001413
1796,0.812938296850146,0.889507836548204,0.742959923827273
1812,0.798922119318247,0.879641846597383,0.725609582132695
1813,0.798922119318247,0.879641846597383,0.725609582132695
1826,0.798922119318247,0.879641846597383,0.725609582132695
1881,0.798922119318247,0.879641846597383,0.725609582132695
1883,0.798922119318247,0.879641846597383,0.725609582132695
1888,0.798922119318247,0.879641846597383,0.725609582132695
1896,0.798922119318247,0.879641846597383,0.725609582132695
1927,0.783256979723772,0.868913175307783,0.706044647175129
1964,0.783256979723772,0.868913175307783,0.706044647175129
1965,0.783256979723772,0.868913175307783,0.706044647175129
1990,0.783256979723772,0.868913175307783,0.706044647175129
1997,0.783256979723772,0.868913175307783,0.706044647175129
2008,0.783256979723772,0.868913175307783,0.706044647175129
2052,0.765851269063243,0.85725091406912,0.684196606500776
2074,0.765851269063243,0.85725091406912,0.684196606500776
2082,0.765851269063243,0.85725091406912,0.684196606500776
2140,0.765851269063243,0.85725091406912,0.684196606500776
2192,0.747171969817798,0.844704711851072,0.660900720274229
2221,0.747171969817798,0.844704711851072,0.660900720274229
2263,0.747171969817798,0.844704711851072,0.660900720274229
2273,0.727509549559435,0.831298750484547,0.636678624130822
2288,0.727509549559435,0.831298750484547,0.636678624130822
2331,0.727509549559435,0.831298750484547,0.636678624130822
2352,0.727509549559435,0.831298750484547,0.636678624130822
2359,0.727509549559435,0.831298750484547,0.636678624130822
2373,0.705463805633392,0.81665940489768,0.609408497684665
2392,0.705463805633392,0.81665940489768,0.609408497684665
2442,0.705463805633392,0.81665940489768,0.609408497684665
2469,0.681948345445612,0.80086950770916,0.580685793852067
2511,0.681948345445612,0.80086950770916,0.580685793852067
2513,0.681948345445612,0.80086950770916,0.580685793852067
2520,0.656690999317997,0.783806560775078,0.550190685006296
2534,0.631433653190381,0.765798990310738,0.520643750417544
2551,0.606176307062766,0.74697562567645,0.491916606932784
2712,0.580918960935151,0.727429071806217,0.463917173857295
2721,0.580918960935151,0.727429071806217,0.463917173857295
2762,0.580918960935151,0.727429071806217,0.463917173857295
2798,0.553256153271572,0.706424016946022,0.433298364424445
2850,0.553256153271572,0.706424016946022,0.433298364424445
